title,region,region_name,region_parent_name,price,is_boost,property_size,bedrooms,bathrooms,furnishing
"4bdrm Duplex in Jahi By Gilmore, Jabi for sale","Abuja (FCT), Jabi",Jabi,Abuja (FCT),450000000.0,enterprise,2000.0,4.0,5.0,Semi-Furnished
5bdrm Duplex in Katampe Extension for sale,"Katampe, Katampe Extension",Katampe Extension,Katampe,800000000.0,enterprise,600.0,5.0,6.0,Semi-Furnished
Furnished 5bdrm Duplex in Wuye Abuja for sale,"Abuja (FCT), Wuye",Wuye,Abuja (FCT),750000000.0,enterprise,,5.0,5.0,Furnished
5bdrm Duplex in Asokoro Abuja for sale,"Abuja (FCT), Asokoro",Asokoro,Abuja (FCT),750000000.0,enterprise,600.0,5.0,6.0,Semi-Furnished
5bdrm Duplex in Asokoro Abuja for sale,"Abuja (FCT), Asokoro",Asokoro,Abuja (FCT),1000000000.0,enterprise,2500.0,5.0,6.0,Semi-Furnished
7bdrm Duplex in Asokoro Main for sale,"Abuja (FCT), Asokoro",Asokoro,Abuja (FCT),3500000000.0,enterprise,1200.0,7.0,5.0,Semi-Furnished
5bdrm Duplex in Guzape District for sale,"Abuja (FCT), Guzape District",Guzape District,Abuja (FCT),990000000.0,enterprise,1200.0,5.0,6.0,Semi-Furnished
"7bdrm Duplex in Efab Metropolis, Gwarinpa for sale","Abuja (FCT), Gwarinpa",Gwarinpa,Abuja (FCT),500000000.0,enterprise,1000.0,7.0,8.0,Semi-Furnished
5bdrm Duplex in Lekki Phase 1 Lagos for sale,"Lekki, Lekki Phase 1",Lekki Phase 1,Lekki,1500000000.0,diamond,600.0,5.0,5.0,Semi-Furnished
4bdrm Duplex in Chevron Lekki Lagos for sale,"Lekki, Chevron",Chevron,Lekki,320000000.0,diamond,500.0,4.0,4.0,Semi-Furnished
2bdrm Apartment in Allen Ikeja Lagos for sale,"Lagos State, Ikeja",Ikeja,Lagos State,150000000.0,diamond,500.0,2.0,2.0,Unfurnished
"3bdrm Duplex in Shell Co Operative, Port-Harcourt for sale","Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,250000000.0,enterprise,498.0,3.0,3.0,Semi-Furnished
"2bdrm Block of Flats in Nacon Estate Off, Uzoba for sale","Port-Harcourt, Uzoba",Uzoba,Port-Harcourt,55000000.0,enterprise,465.0,2.0,2.0,Semi-Furnished
"4bdrm Bungalow in Opposite Coil Nta Rd, Port-Harcourt for sale","Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,70000000.0,enterprise,890.0,4.0,5.0,Semi-Furnished
"Furnished 3bdrm Bungalow in Igwuruta, Port-Harcourt for sale","Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,45000000.0,enterprise,469.0,3.0,3.0,Furnished
"4bdrm Bungalow in Orji Estate Off Ada, Port-Harcourt for sale","Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,95000000.0,enterprise,980.0,4.0,5.0,Semi-Furnished
"Furnished 2bdrm Block of Flats in Rumuoke, Port-Harcourt for sale","Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,80000000.0,enterprise,460.0,2.0,3.0,Furnished
"4bdrm Duplex in Akwaka Estate Off, Port-Harcourt for sale","Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,180000000.0,enterprise,460.0,4.0,5.0,Semi-Furnished
Furnished 4bdrm Duplex in Nvigwe Estate Woji for sale,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,170000000.0,enterprise,560.0,4.0,4.0,Furnished
"4bdrm Duplex in Gra Phase 1, Port-Harcourt for sale","Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,250000000.0,enterprise,750.0,4.0,5.0,Semi-Furnished
"Furnished 5bdrm Duplex in Peter Odili, Port-Harcourt for sale","Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,250000000.0,enterprise,489.0,5.0,5.0,Furnished
"5bdrm Duplex in Efab Metropolis, Gwarinpa for sale","Abuja (FCT), Gwarinpa",Gwarinpa,Abuja (FCT),400000000.0,enterprise,750.0,5.0,5.0,Semi-Furnished
4bdrm Duplex in Jabi Water Front for sale,"Abuja (FCT), Jabi",Jabi,Abuja (FCT),650000000.0,enterprise,2400.0,4.0,5.0,Semi-Furnished
"5bdrm Duplex in Lekki Lagos, Chevron for sale","Lekki, Chevron",Chevron,Lekki,500000000.0,diamond,600.0,5.0,5.0,Semi-Furnished
"2bdrm Apartment in Lekki Lagos, Ikate for sale","Lekki, Ikate",Ikate,Lekki,260000000.0,diamond,500.0,2.0,2.0,Semi-Furnished
"2bdrm Block of Flats in Unity Estate Off, Port-Harcourt for sale","Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,185000000.0,enterprise,968.0,2.0,2.0,Semi-Furnished
"2bdrm Duplex in Eliozu, Port-Harcourt for sale","Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,400000000.0,enterprise,1395.0,2.0,2.0,Semi-Furnished
"Furnished 5bdrm Duplex in Alin Estate, Port-Harcourt for sale","Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,95000000.0,enterprise,460.0,5.0,5.0,Furnished
"4bdrm Duplex in New Rd Off Ada, Port-Harcourt for sale","Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,140000000.0,enterprise,520.0,4.0,5.0,Semi-Furnished
"3bdrm Block of Flats in Eliaparawon Off Ada, Port-Harcourt for sale","Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,150000000.0,enterprise,1380.0,3.0,3.0,Semi-Furnished
"1bdrm Apartment in Machine Street, Port-Harcourt for sale","Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,75000000.0,enterprise,460.0,1.0,1.0,Semi-Furnished
"2bdrm Block of Flats in Ada George, Port-Harcourt for sale","Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,60000000.0,enterprise,465.0,2.0,3.0,Semi-Furnished
"Furnished 6bdrm Duplex in Kado, Abuja. for sale","Abuja (FCT), Kado",Kado,Abuja (FCT),800000000.0,diamond,1000.0,6.0,6.0,Furnished
5bdrm Duplex in Orchid Lekki Lagos for sale,"Lagos State, Lekki",Lekki,Lagos State,330000000.0,diamond,600.0,5.0,5.0,Semi-Furnished
5bdrm Duplex in Ologolo for sale,"Lekki, Ologolo",Ologolo,Lekki,300000000.0,diamond,300.0,5.0,5.0,Unfurnished
4bdrm House in Osapa London Lekki for sale,"Lekki, Osapa london",Osapa london,Lekki,420000000.0,diamond,600.0,4.0,4.0,Semi-Furnished
"2bdrm Block of Flats in Road 24 Agip Estate, Port-Harcourt for sale","Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,150000000.0,enterprise,460.0,2.0,3.0,Semi-Furnished
"2bdrm Block of Flats in Sars Rd, Port-Harcourt for sale","Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,100000000.0,enterprise,520.0,2.0,3.0,Semi-Furnished
"Furnished 5bdrm Duplex in Sars Road Ph, Port-Harcourt for sale","Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,180000000.0,enterprise,920.0,5.0,5.0,Furnished
"Furnished 6bdrm Duplex in Stadium Rd, Port-Harcourt for sale","Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,350000000.0,enterprise,698.0,6.0,6.0,Furnished
"Furnished 4bdrm Duplex in Sars Road Off, Port-Harcourt for sale","Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,120000000.0,enterprise,350.0,4.0,5.0,Furnished
3bdrm Block of Flats in Wuye District for sale,"Abuja (FCT), Wuye",Wuye,Abuja (FCT),150000000.0,False,3000.0,3.0,5.0,Unfurnished
6bdrm Duplex in Wuye for sale,"Abuja (FCT), Wuye",Wuye,Abuja (FCT),700000000.0,False,700.0,6.0,8.0,Semi-Furnished
Furnished 5bdrm Duplex in Chevron Lekki Lagos for sale,"Lekki, Chevron",Chevron,Lekki,650000000.0,diamond,600.0,5.0,5.0,Furnished
5bdrm Duplex in Ikota Lekki County for sale,"Lekki, Ikota",Ikota,Lekki,350000000.0,diamond,500.0,5.0,5.0,Semi-Furnished
"3bdrm Maisonette in River Park Estate, Lugbe District for sale","Abuja (FCT), Lugbe District",Lugbe District,Abuja (FCT),130000000.0,False,200.0,3.0,4.0,Unfurnished
Furnished 4bdrm Duplex in Ologolo Lekki for sale,"Lekki, Ologolo",Ologolo,Lekki,200000000.0,diamond,600.0,4.0,5.0,Furnished
4bdrm Duplex in Katampe Main Fct for sale,"Katampe, Katampe (Main)",Katampe (Main),Katampe,250000000.0,diamond,400.0,4.0,4.0,Unfurnished
4bdrm Duplex in Ajah Lekki Lagos for sale,"Lagos State, Ajah",Ajah,Lagos State,175000000.0,diamond,500.0,4.0,4.0,Semi-Furnished
"5bdrm Duplex in Royal Garden Estate, Ajah for sale","Lagos State, Ajah",Ajah,Lagos State,550000000.0,diamond,500.0,5.0,5.0,Semi-Furnished
3bdrm Block of Flats in Wuye for sale,"Abuja (FCT), Wuye",Wuye,Abuja (FCT),75000000.0,False,1000.0,3.0,4.0,Unfurnished
5bdrm House in Katampe Extension for sale,"Katampe, Katampe Extension",Katampe Extension,Katampe,950000000.0,False,1000.0,5.0,5.0,Semi-Furnished
"4bdrm Duplex in Elite Road, Idi-Aba, Abeokuta South for sale","Ogun State, Abeokuta South",Abeokuta South,Ogun State,55000000.0,enterprise,500.0,4.0,4.0,Unfurnished
Furnished 5bdrm Duplex in Adeniyi Jones for sale,"Ikeja, Adeniyi Jones",Adeniyi Jones,Ikeja,600000000.0,diamond,600.0,5.0,5.0,Furnished
10bdrm Block of Flats in Kubwa F01 for sale,"Abuja (FCT), Kubwa",Kubwa,Abuja (FCT),160000000.0,diamond,500.0,10.0,12.0,Unfurnished
5bdrm Duplex in Lekki Lagos for sale,"Lagos State, Lekki",Lekki,Lagos State,330000000.0,diamond,600.0,5.0,5.0,Semi-Furnished
