,title,region,region_name,region_parent_name,price,is_boost,property_size,bedrooms,bathrooms,furnishing
492,"8bdrm Block of Flats in Nill, Oshimili North for sale","Delta State, Oshimili North",Oshimili North,Delta State,200000000.0,diamond,500.0,8.0,10.0,Unfurnished
493,"6bdrm Duplex in Nill, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,350000000.0,diamond,500.0,6.0,8.0,Unfurnished
495,4bdrm Duplex in Mararaba for sale,"Abuja (Fct), Mararaba",Mararaba,Abuja (Fct),300000000.0,diamond,600.0,4.0,6.0,Semi-Furnished
497,20bdrm House in Mararaba for sale,"Abuja (Fct), Mararaba",Mararaba,Abuja (Fct),120000000.0,diamond,1000.0,20.0,20.0,Semi-Furnished
498,"Furnished 4bdrm Duplex in Efab Metro Estate, Gwarinpa for sale","Abuja (Fct), Gwarinpa",Gwarinpa,Abuja (Fct),300000000.0,diamond,500.0,4.0,6.0,Furnished
499,4bdrm Duplex in Apo Resettlement for sale,"Apo District, Apo Resettlement",Apo Resettlement,Apo District,420000000.0,diamond,600.0,4.0,6.0,Semi-Furnished
500,4bdrm Duplex in Enugu for sale,"Enugu State, Enugu",Enugu,Enugu State,360000000.0,diamond,500.0,4.0,5.0,Unfurnished
501,5bdrm Duplex in Gudu for sale,"Abuja (Fct), Gudu",Gudu,Abuja (Fct),350000000.0,diamond,500.0,5.0,7.0,Unfurnished
503,"5bdrm Duplex in Grangreg Estate, Kurudu for sale","Abuja (Fct), Kurudu",Kurudu,Abuja (Fct),100000000.0,diamond,400.0,5.0,6.0,Unfurnished
504,5bdrm Duplex in Abijo Gra for sale,"Ibeju, Abijo",Abijo,Ibeju,165000000.0,enterprise,400.0,5.0,5.0,Semi-Furnished
505,"Furnished 3bdrm Duplex in Value Chain Estate, Dawaki for sale","Gwarinpa, Dawaki",Dawaki,Gwarinpa,190000000.0,diamond,700.0,3.0,4.0,Furnished
506,4bdrm Duplex in Ajah for sale,"Lagos State, Ajah",Ajah,Lagos State,160000000.0,enterprise,500.0,4.0,4.0,Unfurnished
